hospital,lat,lon
Barnet Hospital,51.6508,-0.2137
North Middlesex University Hospital,51.6132,-0.0736
Royal Free Hospital,51.5538,-0.1662
University College Hospital,51.5257,-0.1374
Whittington Hospital,51.5662,-0.1384
St Mary's Hospital,51.52,-0.17
Chelsea and Westminster Hospital,51.48,-0.18
Northwick Park Hospital,51.58,-0.32
Homerton University Hospital,51.55,-0.05
Whipps Cross Hospital,51.58,0
The Royal London Hospital,51.52,-0.06
Princess Alexandra Hospital,51.77,0.09
Watford General Hospital,51.65,-0.4
Lister Hospital,51.92,-0.21
Croydon Hospital,51.39,-0.11
St Helier Hospital,51.38,-0.18
St George Hospital,51.43,-0.18
Kings College Hospital,51.47,-0.09
Newham Hospital,51.52,0.04
Queen Elizabeth Hospital,51.48,0.05
Princess Royal University Hospital,51.37,0.06
West Middlesex,51.47,-0.32
Hillingdon Hospital,51.53,-0.46
Kingston Hospital,51.41,-0.28
St Thomas' Hospital,51.5,-0.12
Luton Hospital,51.89,-0.47
GOSH,51.5219,-0.1207
Ealing,51.51,-0.35
